Experiment,Switch,SRC_IP,DST_IP,nw_Proto,Packet_Count,Byte_Count,Duration_Sec,Duration_Nsec,Delta_Packet_Count,Delta_Byte_Count,Delta_Duration_Sec,Delta_Duration_Nsec,Thoughput 
20200331153532,00-00-00-00-00-01,10.0.0.1,10.0.0.2,17,140,191800,5,254000000,140,191800,5,254000000,36505.519604
20200331153532,00-00-00-00-00-01,10.0.0.2,10.0.0.1,1,3,1770,4,467000000,3,1770,4,467000000,396.239087
20200331153532,00-00-00-00-00-01,10.0.0.1,10.0.0.2,17,0,0,3,592000000,0,0,3,592000000,0.000000
20200331153532,00-00-00-00-00-02,10.0.0.1,10.0.0.2,17,107,146590,5,306000000,107,146590,5,306000000,27627.214474
20200331153532,00-00-00-00-00-02,10.0.0.2,10.0.0.1,1,4,2360,4,468000000,4,2360,4,468000000,528.200537
20200331153532,00-00-00-00-00-02,10.0.0.1,10.0.0.2,17,0,0,3,607000000,0,0,3,607000000,0.000000
20200331153532,00-00-00-00-00-01,10.0.0.1,10.0.0.2,17,392,537040,14,657000000,252,345240,9,403000000,36715.941721
20200331153532,00-00-00-00-00-01,10.0.0.2,10.0.0.1,1,6,3080,13,870000000,3,1310,9,403000000,139.317239
20200331153532,00-00-00-00-00-01,10.0.0.1,10.0.0.2,17,2,204,12,995000000,2,204,9,403000000,21.695204
20200331153532,00-00-00-00-00-02,10.0.0.1,10.0.0.2,17,291,398670,14,705000000,184,252080,9,399000000,26819.874455
20200331153532,00-00-00-00-00-02,10.0.0.2,10.0.0.1,1,8,4260,13,867000000,4,1900,9,399000000,202.149165
20200331153532,00-00-00-00-00-02,10.0.0.1,10.0.0.2,17,2,204,13,6000000,2,204,10,-601000000,21.704437
20200331153532,00-00-00-00-00-01,10.0.0.1,10.0.0.2,17,519,711030,19,352000000,127,173990,5,-305000000,37058.572950
20200331153532,00-00-00-00-00-01,10.0.0.2,10.0.0.1,1,6,3080,18,565000000,0,0,5,-305000000,0.000000
20200331153532,00-00-00-00-00-01,10.0.0.1,10.0.0.2,17,2,204,17,690000000,0,0,5,-305000000,0.000000
20200331153532,00-00-00-00-00-02,10.0.0.1,10.0.0.2,17,382,523340,19,400000000,91,124670,5,-305000000,26553.780618
20200331153532,00-00-00-00-00-02,10.0.0.2,10.0.0.1,1,8,4260,18,562000000,0,0,5,-305000000,0.000000
20200331153532,00-00-00-00-00-02,10.0.0.1,10.0.0.2,17,2,204,17,701000000,0,0,4,695000000,0.000000
20200331153532,00-00-00-00-00-01,10.0.0.1,10.0.0.2,17,569,779530,21,729000000,50,68500,2,377000000,28817.837610
20200331153532,00-00-00-00-00-01,10.0.0.2,10.0.0.1,1,6,3080,20,942000000,0,0,2,377000000,0.000000
20200331153532,00-00-00-00-00-01,10.0.0.1,10.0.0.2,17,2,204,20,67000000,0,0,3,-623000000,0.000000
20200331153532,00-00-00-00-00-02,10.0.0.1,10.0.0.2,17,413,565810,21,777000000,31,42470,2,377000000,17867.059318
20200331153532,00-00-00-00-00-02,10.0.0.2,10.0.0.1,1,8,4260,20,939000000,0,0,2,377000000,0.000000
20200331153532,00-00-00-00-00-02,10.0.0.1,10.0.0.2,17,2,204,20,78000000,0,0,3,-623000000,0.000000
20200331153532,00-00-00-00-00-01,10.0.0.1,10.0.0.2,17,600,822000,22,916000000,31,42470,1,187000000,35779.275484
20200331153532,00-00-00-00-00-01,10.0.0.1,10.0.0.2,17,3,306,21,254000000,1,102,1,187000000,85.930918
20200331153532,00-00-00-00-00-02,10.0.0.1,10.0.0.2,17,433,593210,22,963000000,20,27400,1,186000000,23102.866779
20200331153532,00-00-00-00-00-02,10.0.0.1,10.0.0.2,17,449,615130,23,998000000,16,21920,1,35000000,21178.743961
20200331153532,00-00-00-00-00-01,10.0.0.1,10.0.0.2,17,620,849400,23,954000000,20,27400,1,38000000,26396.917148
20200331153532,00-00-00-00-00-01,10.0.0.1,10.0.0.2,17,3,306,22,292000000,0,0,1,38000000,0.000000
20200331153532,00-00-00-00-00-02,10.0.0.1,10.0.0.2,17,477,653490,25,41000000,28,38360,2,-957000000,36778.523490
20200331153532,00-00-00-00-00-01,10.0.0.1,10.0.0.2,17,659,902830,24,993000000,39,53430,1,39000000,51424.446583
20200331153532,00-00-00-00-00-01,10.0.0.1,10.0.0.2,17,3,306,23,331000000,0,0,1,39000000,0.000000
20200331153532,00-00-00-00-00-02,10.0.0.1,10.0.0.2,17,494,676780,26,87000000,17,23290,1,46000000,22265.774379
20200331153532,00-00-00-00-00-01,10.0.0.1,10.0.0.2,17,683,935710,26,43000000,24,32880,2,-950000000,31314.285714
20200331153532,00-00-00-00-00-01,10.0.0.1,10.0.0.2,17,3,306,24,381000000,0,0,1,50000000,0.000000
20200331153532,00-00-00-00-00-02,10.0.0.1,10.0.0.2,17,514,704180,27,103000000,20,27400,1,16000000,26968.503937
20200331153532,00-00-00-00-00-01,10.0.0.1,10.0.0.2,17,706,967220,27,57000000,23,31510,1,14000000,31074.950690
